entry,exit,side,ret,dur
2025-07-25 04:00:00+00:00,2025-07-26 16:00:00+00:00,L,0.022777469670710683,36.0
2025-07-29 16:00:00+00:00,2025-07-31 04:00:00+00:00,L,0.007820750281099943,36.0
2025-07-31 20:00:00+00:00,2025-08-01 12:00:00+00:00,L,-0.024619272779537037,16.0
2025-08-01 16:00:00+00:00,2025-08-02 16:00:00+00:00,L,-0.029588487402189022,24.0
2025-08-22 20:00:00+00:00,2025-08-23 04:00:00+00:00,S,0.008556308704497174,8.0
2025-09-02 16:00:00+00:00,2025-09-04 16:00:00+00:00,S,0.010907156553021304,48.0
2025-09-05 08:00:00+00:00,2025-09-09 16:00:00+00:00,S,0.017630319700590792,104.0
2025-09-10 20:00:00+00:00,2025-09-12 00:00:00+00:00,S,-0.021592895305807568,28.0
2025-09-19 20:00:00+00:00,2025-09-22 04:00:00+00:00,L,-0.02009548109845718,56.0
2025-09-29 12:00:00+00:00,2025-09-29 16:00:00+00:00,S,-0.019653028810683447,4.0
2025-10-09 16:00:00+00:00,2025-10-10 16:00:00+00:00,L,-0.03199055970253486,24.0
2025-10-10 20:00:00+00:00,2025-10-11 00:00:00+00:00,L,-0.046094396886765664,4.0
2025-10-20 16:00:00+00:00,2025-10-21 04:00:00+00:00,S,0.017817853869560453,12.0
2025-10-21 16:00:00+00:00,2025-10-22 00:00:00+00:00,S,0.04637948377090959,8.0
2025-10-26 12:00:00+00:00,2025-10-27 04:00:00+00:00,S,-0.02370975854680115,16.0
2025-10-28 04:00:00+00:00,2025-10-29 16:00:00+00:00,S,0.020143760088962327,36.0
2025-11-10 04:00:00+00:00,2025-11-11 16:00:00+00:00,S,0.023691733044621445,36.0
2025-11-26 20:00:00+00:00,2025-12-01 04:00:00+00:00,S,0.04049465613490542,104.0
2025-12-02 16:00:00+00:00,2025-12-05 16:00:00+00:00,S,0.003021927497789491,72.0
2025-12-07 20:00:00+00:00,2025-12-08 16:00:00+00:00,S,0.015467407934531253,20.0
2025-12-09 16:00:00+00:00,2025-12-11 04:00:00+00:00,S,0.03008093887312966,36.0
2025-12-12 00:00:00+00:00,2025-12-12 16:00:00+00:00,S,0.02782547791950716,16.0
2025-12-22 04:00:00+00:00,2025-12-23 08:00:00+00:00,S,0.013017630318753783,28.0
2025-12-26 04:00:00+00:00,2025-12-26 16:00:00+00:00,S,0.01828238429462501,12.0
2025-12-30 16:00:00+00:00,2025-12-31 20:00:00+00:00,S,0.016262551638115498,28.0
2026-01-09 20:00:00+00:00,2026-01-12 04:00:00+00:00,L,0.014904362475616308,56.0
2026-01-19 04:00:00+00:00,2026-01-20 08:00:00+00:00,L,-0.022404008937779628,28.0
2026-01-20 12:00:00+00:00,2026-01-20 20:00:00+00:00,L,-0.025033297570752698,8.0
2026-02-14 16:00:00+00:00,2026-02-15 20:00:00+00:00,S,0.021012779674427363,28.0
2026-02-25 16:00:00+00:00,2026-02-27 12:00:00+00:00,S,0.01839983666802767,44.0
2026-03-01 04:00:00+00:00,2026-03-01 20:00:00+00:00,S,0.022841595294759688,16.0
2026-03-02 16:00:00+00:00,2026-03-04 12:00:00+00:00,S,-0.053177131995968206,44.0
2026-03-18 20:00:00+00:00,2026-03-22 00:00:00+00:00,L,-0.040952675655510105,76.0
2026-03-22 04:00:00+00:00,2026-03-24 08:00:00+00:00,L,0.026808538133148742,52.0
2026-03-24 20:00:00+00:00,2026-03-25 08:00:00+00:00,L,0.021386321285372302,12.0
2026-04-01 16:00:00+00:00,2026-04-02 04:00:00+00:00,S,0.03384581643382898,12.0
2026-04-06 00:00:00+00:00,2026-04-07 20:00:00+00:00,S,-0.026202729686579905,44.0
2026-04-20 00:00:00+00:00,2026-04-20 04:00:00+00:00,L,0.01005497738169412,4.0
2026-04-28 04:00:00+00:00,2026-04-29 12:00:00+00:00,L,0.008942172690344787,32.0
2026-04-29 16:00:00+00:00,2026-05-01 12:00:00+00:00,L,0.019463389692025858,44.0
2026-05-12 16:00:00+00:00,2026-05-13 04:00:00+00:00,L,0.010341622052341883,12.0
2026-05-13 16:00:00+00:00,2026-05-14 16:00:00+00:00,L,0.030848434386383607,24.0
2026-05-15 16:00:00+00:00,2026-05-17 20:00:00+00:00,L,-0.029630857939604315,52.0
2026-06-11 20:00:00+00:00,2026-06-15 08:00:00+00:00,S,-0.04002554592994347,84.0
2026-06-15 12:00:00+00:00,2026-06-18 12:00:00+00:00,S,0.03454970356965057,72.0
2026-07-02 12:00:00+00:00,2026-07-05 20:00:00+00:00,S,-0.0407337154087555,80.0
2026-07-13 04:00:00+00:00,2026-07-14 16:00:00+00:00,L,0.029774066877850648,36.0
