date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-08-19,VXZ,7.837,4138.7,3.0,0.392,0.219
2024-08-20,PULS,8.487,4553.85,1.01,0.424,0.154
2024-08-20,VXZ,-8.587,4607.51,3.0,0.429,0.238
2024-08-21,PULS,-8.15,4357.21,1.01,0.408,0.148
2024-08-21,VXZ,8.251,4410.86,3.0,0.413,0.229
2024-08-22,PULS,68.43,37040.55,1.01,3.422,1.24
2024-08-22,VXZ,-68.43,37040.55,3.0,3.422,1.882
2024-08-28,PULS,-36.0,19502.79,1.01,1.8,0.652
2024-08-28,ZVOL,36.0,19502.79,15.0,5.4,3.796
2024-08-29,PULS,35.974,19477.21,1.01,1.799,0.651
2024-08-29,ZVOL,-35.974,19477.21,15.0,5.396,3.794
2024-08-30,PULS,-36.0,19495.95,1.0,1.8,0.651
2024-08-30,VXZ,35.9,19441.8,3.0,1.795,1.003
2024-09-03,PULS,1.424,788.53,1.01,0.071,0.07
2024-09-03,VXZ,-37.326,20671.34,3.0,1.866,1.014
2024-09-03,ZVOL,36.0,19936.95,15.0,5.4,3.87
2024-09-04,PULS,-16.583,9104.97,1.01,0.829,0.301
2024-09-04,ZVOL,16.583,9104.97,15.0,2.488,1.796
2024-09-05,PULS,0.636,353.96,1.01,0.032,0.066
2024-09-05,ZVOL,-0.636,353.96,15.0,0.095,0.111
2024-09-06,PULS,-25.0,13631.22,1.01,1.25,0.454
2024-09-06,ZVOL,25.0,13631.22,15.0,3.75,2.72
2024-09-09,PULS,76.368,42244.73,1.01,3.818,1.386
2024-09-09,ZVOL,-76.368,42244.73,15.0,11.455,8.256
2024-09-11,PULS,-36.0,19915.0,1.01,1.8,0.653
2024-09-11,VXZ,35.7,19749.04,3.0,1.785,0.98
2024-09-12,PULS,-16.118,8909.91,1.01,0.806,0.292
2024-09-12,VXZ,16.218,8965.36,3.0,0.811,0.446
2024-09-13,PULS,-0.011,5.89,1.01,0.001,0.063
2024-09-13,VXZ,0.011,5.86,3.0,0.001,0.063
2024-09-16,PULS,0.059,32.95,1.01,0.003,0.063
2024-09-16,VXZ,0.04,22.37,3.0,0.002,0.064
2024-09-17,PULS,0.152,84.35,1.01,0.008,0.064
2024-09-17,VXZ,-0.352,195.48,3.0,0.018,0.068
2024-09-18,PULS,51.796,28648.23,1.01,2.59,0.938
2024-09-18,VXZ,-51.595,28537.17,3.0,2.58,1.418
2024-09-19,PULS,-68.0,37591.81,1.01,3.4,1.231
2024-09-19,VXZ,67.7,37425.96,3.0,3.385,1.884
2024-09-20,PULS,52.203,29075.64,1.01,2.61,0.945
2024-09-20,VXZ,-52.105,29020.72,3.0,2.605,1.442
2024-09-23,PULS,-43.925,24479.6,1.01,2.196,0.795
2024-09-23,VXZ,43.725,24368.09,3.0,2.186,1.207
2024-09-24,PULS,-8.108,4508.67,1.0,0.405,0.147
2024-09-24,VXZ,8.308,4620.24,3.0,0.415,0.23
2024-09-25,PULS,68.161,38061.05,1.0,3.408,1.233
2024-09-25,VXZ,-68.062,38005.48,3.0,3.403,1.876
2024-09-26,PULS,-52.0,29021.28,1.0,2.6,0.941
2024-09-26,VXZ,51.8,28909.66,3.0,2.59,1.428
2024-09-27,PULS,52.563,29691.98,1.0,2.628,0.95
2024-09-27,VXZ,-52.366,29580.42,3.0,2.618,1.429
2024-09-30,PULS,-52.0,29346.19,1.0,2.6,0.94
2024-09-30,VXZ,52.0,29346.19,3.0,2.6,1.424
2024-10-01,PULS,16.727,9587.37,1.01,0.836,0.304
2024-10-01,VXZ,-52.727,30221.34,3.0,2.636,1.425
2024-10-01,ZVOL,36.0,20633.96,15.0,5.4,3.911
2024-10-02,PULS,35.94,20572.88,1.01,1.797,0.652
2024-10-02,ZVOL,-35.94,20572.88,15.0,5.391,3.907
2024-10-03,PULS,-36.0,20599.4,1.01,1.8,0.653
2024-10-03,ZVOL,36.0,20599.4,15.0,5.4,3.936
2024-10-04,PULS,0.591,341.12,1.01,0.03,0.064
2024-10-04,VXZ,35.9,20725.56,3.0,1.795,0.974
2024-10-04,ZVOL,-36.591,21124.41,15.0,5.489,3.969
2024-10-07,PULS,37.053,21745.15,1.01,1.853,0.672
2024-10-07,VXZ,-36.955,21687.44,3.0,1.848,0.982
2024-10-09,PULS,-36.0,21123.61,1.01,1.8,0.653
2024-10-09,VXZ,35.7,20947.58,3.0,1.785,0.968
2024-10-10,PULS,35.99,21119.75,1.01,1.8,0.653
2024-10-10,VXZ,-35.69,20943.78,3.0,1.785,0.968
2024-10-11,PULS,-36.0,21134.63,1.01,1.8,0.652
2024-10-11,VXZ,35.8,21017.22,3.0,1.79,0.973
2024-10-14,PULS,-24.516,14265.35,1.01,1.226,0.444
2024-10-14,VXZ,24.518,14266.36,3.0,1.226,0.674
2024-10-15,PULS,60.1,35051.09,1.01,3.005,1.089
2024-10-15,VXZ,-59.9,34934.79,3.0,2.995,1.642
2024-10-18,PULS,-36.0,21004.9,1.01,1.8,0.652
2024-10-18,VXZ,35.9,20946.55,3.0,1.795,0.995
2024-10-21,PULS,35.908,20913.26,1.01,1.795,0.65
2024-10-21,VXZ,-35.808,20854.94,3.0,1.79,0.994
2024-10-23,PULS,-52.0,30269.45,1.01,2.6,0.941
2024-10-23,ZVOL,52.0,30269.45,15.0,7.8,5.591
2024-10-24,PULS,52.132,30419.45,1.01,2.607,0.944
2024-10-24,ZVOL,-52.132,30419.45,15.0,7.82,5.596
2024-10-29,PULS,-36.0,21015.45,1.0,1.8,0.651
2024-10-29,VXZ,35.8,20898.7,3.0,1.79,0.988
2024-10-30,PULS,36.355,21328.54,1.01,1.818,0.658
2024-10-30,VXZ,-36.156,21211.83,3.0,1.808,0.991
2024-10-31,PULS,-76.0,44552.74,1.01,3.8,1.375
2024-10-31,ZVOL,76.0,44552.74,15.0,11.4,8.347
2024-11-01,PULS,75.902,44302.72,1.01,3.795,1.378
2024-11-01,ZVOL,-75.902,44302.72,15.0,11.385,8.349
2024-11-04,PULS,-60.0,35013.32,1.01,3.0,1.089
2024-11-04,ZVOL,60.0,35013.32,15.0,9.0,6.55
2024-11-05,PULS,60.594,35870.87,1.01,3.03,1.1
2024-11-05,ZVOL,-60.594,35870.87,15.0,9.089,6.564
2024-11-06,PULS,-60.0,35497.29,1.01,3.0,1.089
