date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-01-25,UVXY,0.065,142.75,6.54,0.004,0.018
2024-01-26,PULS,-0.073,159.01,1.01,0.004,0.016
2024-01-26,VXZ,-0.007,15.34,3.68,0.0,0.016
2024-01-26,UVXY,-0.019,41.24,6.61,0.001,0.017
2024-01-29,PULS,0.062,135.44,1.01,0.003,0.016
2024-01-29,VXZ,-0.022,48.07,3.68,0.001,0.016
2024-01-29,UVXY,-0.041,89.26,6.53,0.003,0.017
2024-01-30,PULS,-0.035,76.65,1.01,0.002,0.016
2024-01-30,VXZ,-0.027,57.97,3.68,0.001,0.017
2024-01-30,UVXY,-0.036,77.45,6.68,0.002,0.017
2024-01-31,PULS,8.637,19751.1,1.01,0.432,0.156
2024-01-31,SOXL,37.5,85759.28,1.56,1.875,1.051
2024-01-31,SVIX,37.5,85759.28,4.0,1.875,1.397
2024-01-31,ZVOL,9.0,20582.23,15.0,1.35,0.929
2024-01-31,VXZ,-16.096,36809.68,3.58,0.805,1.036
2024-01-31,UVXY,-76.352,174610.77,6.23,4.754,8.558
2024-02-01,PULS,-0.024,56.25,1.01,0.001,0.015
2024-02-01,SOXL,0.009,20.5,1.54,0.0,0.015
2024-02-01,SVIX,-0.017,38.97,4.0,0.001,0.015
2024-02-01,ZVOL,0.032,74.72,15.0,0.005,0.018
2024-02-02,PULS,0.021,50.27,1.01,0.001,0.015
2024-02-02,SOXL,-0.05,116.11,1.49,0.002,0.015
2024-02-02,SVIX,0.001,3.37,4.0,0.0,0.015
2024-02-02,ZVOL,-0.073,172.01,15.0,0.011,0.02
2024-02-05,PULS,-0.03,73.04,1.01,0.002,0.015
2024-02-05,SOXL,-0.031,76.23,1.42,0.002,0.015
2024-02-05,SVIX,0.014,34.34,4.0,0.001,0.015
2024-02-05,ZVOL,0.047,114.93,15.0,0.007,0.018
2024-02-06,PULS,9.824,23663.77,1.01,0.491,0.179
2024-02-06,SOXL,0.029,69.22,1.48,0.001,0.015
2024-02-06,SVIX,-38.533,92812.9,4.0,1.927,1.385
2024-02-06,ZVOL,-8.82,21245.03,15.0,1.323,0.903
2024-02-06,TECL,37.5,90324.94,1.5,1.875,0.606
2024-02-07,PULS,-12.227,30380.94,1.01,0.611,0.222
2024-02-07,SOXL,-0.476,1183.88,1.41,0.024,0.017
2024-02-07,SVIX,37.5,93177.3,4.0,1.875,1.347
2024-02-07,VXZ,13.0,32301.46,3.69,0.65,0.864
2024-02-07,TECL,-37.796,93913.94,1.5,1.89,0.598
2024-02-08,PULS,0.04,101.89,1.01,0.002,0.014
2024-02-08,SOXL,-0.01,24.75,1.35,0.0,0.014
2024-02-08,SVIX,-0.011,28.7,4.0,0.001,0.014
2024-02-08,VXZ,-0.019,48.44,3.7,0.001,0.014
2024-02-09,PULS,-0.074,191.17,1.01,0.004,0.014
2024-02-09,SOXL,0.036,93.28,1.27,0.002,0.014
2024-02-09,SVIX,-0.007,17.15,4.0,0.0,0.014
2024-02-09,VXZ,-0.056,143.53,3.67,0.003,0.015
2024-02-12,PULS,-1.59,4083.37,1.01,0.079,0.029
2024-02-12,SOXL,-40.207,103256.95,1.28,2.01,0.924
2024-02-12,SVIX,-35.394,90897.7,4.0,1.77,1.285
2024-02-12,VXZ,2.091,5369.26,3.6,0.105,0.136
2024-02-12,TLT,75.0,192611.95,0.53,3.75,0.718
2024-02-13,PULS,5.909,15014.78,1.01,0.295,0.107
2024-02-13,ZVOL,9.0,22869.69,15.0,1.35,0.933
2024-02-13,VXZ,-15.376,39071.09,3.53,0.769,0.976
2024-02-13,TLT,-74.432,189137.59,0.54,3.722,0.725
2024-02-13,SQQQ,75.0,190580.78,4.24,3.75,5.72
2024-02-14,PULS,8.601,21322.37,1.01,0.43,0.156
2024-02-14,ZVOL,-9.33,23130.74,15.0,1.4,0.964
2024-02-14,TLT,75.0,185933.42,0.54,3.75,0.727
2024-02-14,SQQQ,-74.271,184125.04,4.38,3.714,5.858
2024-02-15,PULS,-0.011,27.29,1.01,0.001,0.014
2024-02-15,TLT,0.011,27.29,0.54,0.001,0.014
2024-02-16,PULS,-0.012,30.93,1.01,0.001,0.014
2024-02-16,TLT,-74.988,185697.83,0.54,3.749,0.728
2024-02-16,SQQQ,75.0,185728.76,4.29,3.75,5.794
2024-02-20,PULS,0.023,58.91,1.01,0.001,0.014
2024-02-20,SQQQ,-0.023,58.91,4.19,0.001,0.014
2024-02-21,PULS,0.024,60.51,1.01,0.001,0.014
2024-02-21,SQQQ,-0.024,60.51,4.14,0.001,0.014
2024-02-22,PULS,-14.118,33518.32,1.01,0.706,0.256
2024-02-22,SVIX,37.5,89032.91,4.0,1.875,1.375
2024-02-22,VXZ,12.9,30627.32,3.61,0.645,0.839
2024-02-22,TECL,37.5,89032.91,1.5,1.875,0.592
2024-02-22,SQQQ,-73.882,175412.24,4.54,3.694,6.034
2024-02-23,PULS,0.087,207.23,1.01,0.004,0.015
2024-02-23,SVIX,-38.419,91862.31,4.0,1.921,1.389
2024-02-23,VXZ,0.249,595.08,3.65,0.012,0.019
2024-02-23,TECL,-36.918,88273.74,1.5,1.846,0.585
2024-02-23,TLT,75.0,179331.87,0.53,3.75,0.719
2024-02-26,PULS,12.957,30866.58,1.01,0.648,0.235
2024-02-26,VXZ,-12.813,30522.82,3.69,0.641,0.852
2024-02-26,TLT,-0.044,104.69,0.53,0.002,0.015
2024-02-27,PULS,-0.137,323.75,1.01,0.007,0.015
2024-02-27,SOXL,37.5,88797.16,1.22,1.875,0.821
2024-02-27,TECL,37.5,88797.16,1.5,1.875,0.592
2024-02-27,TLT,-74.863,177270.57,0.54,3.743,0.725
2024-02-28,PULS,0.056,130.4,1.01,0.003,0.015
2024-02-28,SOXL,-0.05,115.74,1.26,0.002,0.015
2024-02-28,TECL,-0.006,14.66,1.5,0.0,0.015
2024-02-29,PULS,-8.504,20585.33,1.01,0.425,0.154
2024-02-29,SOXL,-38.16,92368.17,1.17,1.908,0.802
2024-02-29,SVIX,37.5,90770.33,4.0,1.875,1.34
2024-02-29,VXZ,8.9,21542.82,3.7,0.445,0.592
2024-02-29,TECL,0.165,398.3,1.5,0.008,0.016
2024-03-01,PULS,-0.029,70.86,1.01,0.001,0.014
2024-03-01,SVIX,-0.063,154.89,4.0,0.003,0.015
2024-03-01,VXZ,-0.018,43.84,3.71,0.001,0.015
2024-03-01,TECL,0.008,18.88,1.5,0.0,0.014
2024-03-04,PULS,0.022,53.34,1.01,0.001,0.014
2024-03-04,SVIX,0.008,20.08,4.0,0.0,0.014
2024-03-04,VXZ,0.012,29.99,3.66,0.001,0.014
2024-03-04,TECL,-0.042,103.75,1.5,0.002,0.014
2024-03-05,PULS,-0.048,114.58,1.01,0.002,0.015
2024-03-05,SVIX,-0.015,36.7,4.0,0.001,0.015
2024-03-05,VXZ,0.058,136.75,3.59,0.003,0.016
2024-03-05,TECL,0.01,24.18,1.5,0.001,0.015
2024-03-06,PULS,0.074,177.07,1.01,0.004,0.015
2024-03-06,SVIX,0.011,25.37,4.0,0.001,0.015
2024-03-06,VXZ,-0.027,65.43,3.6,0.001,0.015
2024-03-06,TECL,0.042,100.31,1.5,0.002,0.015
2024-03-07,PULS,-0.002,6.0,1.01,0.0,0.014
2024-03-07,SVIX,-35.712,86587.71,4.0,1.786,1.302
2024-03-07,VXZ,-0.157,381.82,3.59,0.008,0.017
2024-03-07,TECL,-39.03,94631.83,1.5,1.951,0.597
2024-03-07,UVXY,75.0,181845.31,6.98,5.237,9.427
2024-03-08,PULS,9.434,23506.77,1.01,0.472,0.171
2024-03-08,SVIX,37.5,93435.47,4.0,1.875,1.38
2024-03-08,VXZ,-8.867,22092.3,3.54,0.443,0.566
2024-03-08,TECL,37.5,93435.47,1.5,1.875,0.588
2024-03-08,UVXY,-75.568,188285.4,6.74,5.092,9.166
2024-03-11,PULS,-0.009,22.11,1.01,0.0,0.014
2024-03-11,SVIX,0.034,85.84,4.0,0.002,0.015
2024-03-11,TECL,-0.026,63.73,1.5,0.001,0.014
2024-03-12,PULS,-0.028,73.33,1.01,0.001,0.014
2024-03-12,SVIX,-0.087,225.25,4.0,0.004,0.015
2024-03-12,TECL,0.015,39.38,1.5,0.001,0.014
2024-03-13,PULS,0.75,1924.94,1.01,0.038,0.017
2024-03-13,SVIX,-38.727,99386.47,4.0,1.936,1.386
2024-03-13,TECL,-37.024,95015.99,1.5,1.851,0.575
2024-03-13,UVXY,75.0,192477.52,7.43,5.572,10.03
2024-03-14,PULS,0.621,1633.51,1.01,0.031,0.016
2024-03-14,UVXY,-75.621,198900.44,7.18,5.433,9.779
2024-03-14,SQQQ,75.0,197266.93,4.56,3.75,6.159
2024-03-15,PULS,0.062,168.54,1.01,0.003,0.013
2024-03-15,SQQQ,-0.062,168.54,4.4,0.003,0.014
2024-03-18,PULS,-0.022,56.98,1.01,0.001,0.013
2024-03-18,SQQQ,0.022,56.98,4.52,0.001,0.014
2024-03-19,PULS,-0.044,115.03,1.01,0.002,0.014
2024-03-19,SQQQ,0.044,115.03,4.56,0.002,0.014
2024-03-20,PULS,-13.67,35044.76,1.01,0.683,0.248
2024-03-20,VXZ,12.9,33071.02,3.64,0.645,0.845
2024-03-20,SQQQ,0.67,1717.38,4.79,0.033,0.058
2024-03-21,PULS,-2.116,5371.22,1.01,0.106,0.038
2024-03-21,VXZ,1.87,4745.79,3.64,0.093,0.122
2024-03-21,UVXY,75.0,190355.23,7.85,5.887,10.597
2024-03-21,SQQQ,-74.753,189727.45,4.85,3.738,6.532
2024-03-22,PULS,15.026,38214.74,1.01,0.751,0.272
2024-03-22,VXZ,-14.914,37930.84,3.62,0.746,0.972
2024-03-22,TLT,75.0,190746.98,0.53,3.75,0.718
2024-03-22,UVXY,-75.012,190777.32,7.82,5.869,10.565
2024-03-25,PULS,0.002,5.3,1.01,0.0,0.014
2024-03-25,TLT,-0.002,5.3,0.53,0.0,0.014
2024-03-26,PULS,0.048,122.88,1.01,0.002,0.014
2024-03-26,TLT,-0.048,122.88,0.53,0.002,0.014
2024-03-27,PULS,-0.019,47.81,1.01,0.001,0.014
2024-03-27,TLT,0.019,47.81,0.53,0.001,0.014
2024-03-28,PULS,0.08,205.5,1.01,0.004,0.014
2024-03-28,TLT,-75.08,191817.69,0.53,3.754,0.714
2024-03-28,UVXY,75.0,191612.2,7.91,5.934,10.68
2024-04-01,PULS,0.113,289.39,1.01,0.006,0.014
2024-04-01,UVXY,-75.113,192676.98,7.86,5.905,10.629
2024-04-01,SQQQ,75.0,192387.59,4.8,3.75,6.484
2024-04-02,PULS,-0.027,69.85,1.01,0.001,0.014
2024-04-02,SQQQ,0.027,69.85,4.68,0.001,0.014
2024-04-03,PULS,0.088,229.55,1.01,0.004,0.014
2024-04-03,SQQQ,-0.088,229.55,4.71,0.004,0.016
2024-04-04,PULS,-13.858,37367.41,1.01,0.693,0.252
2024-04-04,ZVOL,15.0,40446.8,15.0,2.25,1.57
2024-04-04,SQQQ,-1.142,3079.39,4.5,0.057,0.092
2024-04-05,PULS,14.733,38694.01,1.01,0.737,0.268
2024-04-05,ZVOL,-15.373,40373.64,15.0,2.306,1.61
2024-04-05,SQQQ,0.64,1679.63,4.66,0.032,0.054
2024-04-08,PULS,-0.004,9.95,1.01,0.0,0.013
2024-04-08,SQQQ,0.004,9.95,4.66,0.0,0.013
2024-04-09,PULS,-0.039,100.36,1.01,0.002,0.014
2024-04-09,SQQQ,0.039,100.36,4.71,0.002,0.014
2024-04-10,PULS,0.024,62.82,1.01,0.001,0.013
2024-04-10,SQQQ,-0.024,62.82,4.59,0.001,0.014
2024-04-11,PULS,-0.005,12.42,1.01,0.0,0.014
2024-04-11,SQQQ,0.005,12.42,4.81,0.0,0.014
2024-04-12,PULS,0.058,152.9,1.01,0.003,0.013
2024-04-12,SQQQ,-0.058,152.9,4.59,0.003,0.015
2024-04-15,PULS,-15.889,43772.63,1.01,0.794,0.288
2024-04-15,ZVOL,17.0,46833.6,15.0,2.55,1.799
2024-04-15,SQQQ,-1.111,3060.98,4.37,0.056,0.087
2024-04-16,PULS,0.029,80.02,1.01,0.001,0.013
2024-04-16,ZVOL,-0.0,0.73,15.0,0.0,0.013
2024-04-16,SQQQ,-0.029,79.29,4.37,0.001,0.013
2024-04-17,PULS,-3.784,10750.85,1.01,0.189,0.069
2024-04-17,ZVOL,4.091,11622.96,15.0,0.614,0.43
2024-04-17,SPXL,75.0,213079.49,1.0,3.75,0.794
2024-04-17,SQQQ,-75.307,213951.6,4.22,3.765,5.715
2024-04-18,PULS,-2.02,5706.02,1.01,0.101,0.037
2024-04-18,ZVOL,1.865,5268.88,15.0,0.28,0.196
2024-04-18,SPXL,-74.845,211411.82,1.0,3.742,0.795
2024-04-18,TECL,75.0,211848.97,1.5,3.75,1.295
2024-04-19,PULS,-0.002,6.33,1.01,0.0,0.013
2024-04-19,ZVOL,0.024,65.02,15.0,0.004,0.015
2024-04-19,TECL,-0.022,58.7,1.5,0.001,0.013
2024-04-22,PULS,22.958,63432.44,1.01,1.148,0.416
2024-04-22,SOXL,75.0,207219.66,1.56,3.75,2.105
2024-04-22,ZVOL,-24.385,67373.09,15.0,3.658,2.534
2024-04-22,TECL,-73.574,203279.01,1.5,3.679,1.3
2024-04-23,PULS,-7.869,22761.07,1.01,0.393,0.143
2024-04-23,SOXL,-76.131,220210.92,1.47,3.807,2.009
2024-04-23,VXZ,9.0,26032.71,3.7,0.45,0.599
2024-04-23,SQQQ,75.0,216939.28,4.2,3.75,5.668
2024-04-24,PULS,-0.002,7.02,1.01,0.0,0.012
2024-04-24,VXZ,-0.036,103.49,3.71,0.002,0.013
2024-04-24,SQQQ,-0.062,176.84,4.23,0.003,0.013
2024-04-25,PULS,-0.031,89.39,1.01,0.002,0.012
2024-04-25,VXZ,0.005,13.96,3.71,0.0,0.012
2024-04-25,SQQQ,-0.074,215.38,4.17,0.004,0.014
2024-04-26,PULS,-0.017,46.39,1.01,0.001,0.013
2024-04-26,VXZ,0.008,22.86,3.73,0.0,0.013
2024-04-26,SQQQ,0.008,23.53,4.37,0.0,0.013
2024-04-29,PULS,0.046,128.56,1.01,0.002,0.013
2024-04-29,VXZ,-0.071,197.9,3.77,0.004,0.014
2024-04-29,SQQQ,-0.075,208.49,4.42,0.004,0.014
2024-04-30,PULS,-0.041,118.01,1.01,0.002,0.012
2024-04-30,VXZ,0.028,81.12,3.76,0.001,0.013
2024-04-30,SQQQ,0.013,36.89,4.18,0.001,0.012
2024-05-01,PULS,-0.018,54.26,1.01,0.001,0.012
2024-05-01,VXZ,0.029,85.39,3.7,0.001,0.012
2024-05-01,SQQQ,-0.011,31.13,4.09,0.001,0.012
2024-05-02,PULS,8.83,25269.11,1.01,0.442,0.161
2024-05-02,SOXL,37.5,107310.54,1.37,1.875,0.926
2024-05-02,VXZ,-8.887,25430.85,3.78,0.444,0.604
2024-05-02,TECL,37.5,107310.54,1.5,1.875,0.649
2024-05-02,SQQQ,-74.943,214459.35,4.24,3.747,5.726
2024-05-03,PULS,0.032,96.7,1.01,0.002,0.012
2024-05-03,SOXL,-0.034,101.39,1.28,0.002,0.012
2024-05-03,TECL,0.002,4.69,1.5,0.0,0.012
2024-05-06,PULS,-10.875,34073.91,1.01,0.544,0.198
2024-05-06,SOXL,-1.269,3974.61,1.21,0.063,0.028
2024-05-06,VXZ,12.9,40417.05,3.91,0.645,0.908
2024-05-06,TECL,-0.856,2681.84,1.5,0.043,0.018
2024-05-07,PULS,0.045,138.17,1.01,0.002,0.012
2024-05-07,SOXL,-0.021,64.48,1.24,0.001,0.011
2024-05-07,VXZ,-0.016,49.04,3.93,0.001,0.012
2024-05-07,TECL,-0.007,20.65,1.5,0.0,0.011
2024-05-08,PULS,-0.062,191.51,1.01,0.003,0.012
