date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2022-02-02,BIL,1.085,768.64,0.55,0.054,0.052
2022-02-03,LABD,-1.36,987.7,3.0,0.068,0.069
2022-02-03,TMV,0.104,75.27,2.0,0.005,0.049
2022-02-03,BIL,1.256,912.43,0.55,0.063,0.052
2022-02-04,TMF,50.0,36322.13,2.16,2.5,1.942
2022-02-04,LABD,1.057,767.66,3.0,0.053,0.064
2022-02-04,TMV,-1.093,793.8,2.0,0.055,0.059
2022-02-04,BIL,-49.964,36295.99,0.55,2.498,0.492
2022-02-07,TMF,-51.333,36474.71,2.15,2.567,1.985
2022-02-07,LABD,1.822,1294.87,3.0,0.091,0.077
2022-02-07,TMV,-0.49,347.89,2.0,0.024,0.054
2022-02-07,BIL,50.0,35527.73,0.55,2.5,0.492
2022-02-08,LABD,-0.172,123.71,3.0,0.009,0.051
2022-02-08,TMV,-0.305,218.95,2.0,0.015,0.052
2022-02-08,BIL,0.478,342.67,0.55,0.024,0.05
2022-02-09,LABD,2.716,1877.49,3.0,0.136,0.094
2022-02-09,TMV,-0.833,576.2,2.0,0.042,0.059
2022-02-09,BIL,-1.882,1301.29,0.55,0.094,0.056
2022-02-10,UVXY,50.0,35711.01,3.56,2.5,3.201
2022-02-10,LABD,-1.293,923.25,3.0,0.065,0.068
2022-02-10,TMV,-0.333,237.73,2.0,0.017,0.052
2022-02-10,BIL,-48.374,34550.03,0.55,2.419,0.476
2022-02-11,UVXY,-54.326,42289.35,3.0,2.716,2.935
2022-02-11,LABD,1.187,923.71,3.0,0.059,0.063
2022-02-11,TMV,3.14,2443.9,2.0,0.157,0.076
2022-02-11,BIL,50.0,38921.74,0.55,2.5,0.492
2022-02-14,LABD,-0.685,545.0,3.0,0.034,0.054
2022-02-14,TMV,-0.4,317.9,2.0,0.02,0.048
2022-02-14,BIL,1.085,862.9,0.55,0.054,0.047
2022-02-15,LABD,2.639,2050.87,3.0,0.132,0.089
2022-02-15,TMV,-1.437,1116.33,2.0,0.072,0.059
2022-02-15,BIL,-1.203,934.54,0.55,0.06,0.048
2022-02-16,LABD,-0.652,508.11,3.0,0.033,0.055
2022-02-16,TMV,0.487,379.95,2.0,0.024,0.05
2022-02-16,BIL,0.164,128.16,0.55,0.008,0.045
2022-02-17,LABD,-2.4,1917.66,3.0,0.12,0.08
2022-02-17,TMV,1.187,948.64,2.0,0.059,0.056
2022-02-17,BIL,1.213,969.02,0.55,0.061,0.047
2022-02-18,LABD,-0.942,754.77,3.0,0.047,0.058
2022-02-18,TMV,0.815,652.57,2.0,0.041,0.052
2022-02-18,BIL,0.128,102.2,0.55,0.006,0.044
2022-02-22,LABD,-0.576,463.43,3.0,0.029,0.052
2022-02-22,TMV,0.342,275.1,2.0,0.017,0.047
2022-02-22,BIL,0.234,188.33,0.55,0.012,0.044
2022-02-23,LABD,-1.923,1610.75,3.0,0.096,0.071
2022-02-23,TMV,-0.036,30.41,2.0,0.002,0.042
2022-02-23,BIL,1.96,1641.15,0.55,0.098,0.047
2022-02-24,LABD,2.734,2206.36,3.0,0.137,0.084
2022-02-24,TMV,-0.85,685.78,2.0,0.042,0.052
2022-02-24,BIL,-1.884,1520.58,0.55,0.094,0.049
2022-02-25,SOXS,25.0,20034.76,1.5,1.25,0.446
2022-02-25,UVXY,25.0,20034.76,3.05,1.25,1.374
2022-02-25,LABD,0.453,363.35,3.0,0.023,0.05
2022-02-25,TMV,-25.126,20135.87,2.0,1.256,0.495
2022-02-25,BIL,-25.327,20297.0,0.55,1.266,0.249
2022-02-28,SOXS,-24.931,20401.27,1.5,1.247,0.44
2022-02-28,UVXY,-26.213,21449.84,2.85,1.311,1.345
2022-02-28,LABD,-24.391,19959.25,3.0,1.22,0.762
2022-02-28,BIL,75.536,61810.36,0.55,3.777,0.744
2022-03-02,UVXY,50.0,40872.79,2.71,2.5,2.44
2022-03-02,LABD,25.0,20436.4,3.0,1.25,0.774
2022-03-02,TMV,25.0,20436.4,2.0,1.25,0.494
2022-03-02,BIL,-100.0,81745.59,0.55,5.0,0.985
2022-03-03,UVXY,-49.543,41273.74,2.68,2.477,2.392
2022-03-03,LABD,-26.739,22275.96,3.0,1.337,0.792
2022-03-03,TMV,-23.719,19760.04,2.0,1.186,0.476
2022-03-03,BIL,100.0,83309.74,0.55,5.0,0.984
2022-03-08,LABD,25.0,20816.75,3.0,1.25,0.716
2022-03-08,TMV,25.0,20816.75,2.0,1.25,0.502
2022-03-08,BIL,-50.0,41633.49,0.55,2.5,0.492
2022-03-09,LABD,3.029,2451.72,3.0,0.151,0.094
2022-03-09,TMV,-1.59,1286.64,2.0,0.079,0.059
2022-03-09,BIL,-1.44,1165.08,0.55,0.072,0.047
2022-03-10,LABD,-0.062,51.27,3.0,0.003,0.044
2022-03-10,TMV,-0.66,541.67,2.0,0.033,0.049
2022-03-10,BIL,0.722,592.94,0.55,0.036,0.045
2022-03-11,LABD,-2.151,1811.48,3.0,0.108,0.074
2022-03-11,TMV,0.905,762.09,2.0,0.045,0.051
2022-03-11,BIL,1.246,1049.39,0.55,0.062,0.045
