date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2023-08-29,VBF,-100.0,135093.49,3.38,5.0,6.081
2023-08-29,SSO,100.0,135093.49,1.0,5.0,1.602
2023-08-31,TQQQ,100.0,135503.98,1.18,5.0,2.121
2023-08-31,SSO,-100.0,135503.98,1.0,5.0,1.598
2023-09-14,TQQQ,-100.0,133642.04,1.19,5.0,2.148
2023-09-14,SSO,100.0,133642.04,1.0,5.0,1.6
2023-09-15,SSO,-100.0,130250.1,1.0,5.0,1.628
2023-09-15,UDOW,100.0,130250.1,1.5,5.0,1.837
2023-09-19,SSO,100.0,128984.41,1.0,5.0,1.631
2023-09-19,UDOW,-100.0,128984.41,1.5,5.0,1.847
2023-09-20,BSV,100.0,126340.32,1.0,5.0,1.366
2023-09-20,SSO,-100.0,126340.32,1.0,5.0,1.654
2023-09-21,BSV,-100.0,126126.91,1.0,5.0,1.366
2023-09-21,LABU,100.0,126126.91,12.72,12.723,22.901
2023-09-25,LABU,-100.0,116700.16,13.74,13.736,24.725
2023-09-25,TLT,100.0,116700.16,0.56,5.0,1.009
2023-09-26,TECL,100.0,116175.36,1.5,5.0,2.31
2023-09-26,TLT,-100.0,116175.36,0.56,5.0,1.013
2023-09-28,TECL,-100.0,118924.2,1.5,5.0,2.272
2023-09-28,TLT,100.0,118924.2,0.56,5.0,1.015
2023-10-04,ANGL,100.0,115926.42,1.88,5.0,3.389
2023-10-04,TLT,-100.0,115926.42,0.58,5.0,1.043
2023-10-06,ANGL,-100.0,115937.95,1.88,5.0,3.385
2023-10-06,TLT,100.0,115937.95,0.59,5.0,1.061
2023-10-09,TQQQ,100.0,118537.44,1.32,5.0,2.375
2023-10-09,TLT,-100.0,118537.44,0.58,5.0,1.037
2023-10-17,TQQQ,-100.0,119665.09,1.31,5.0,2.35
2023-10-17,UDOW,100.0,119665.09,1.5,5.0,1.915
2023-10-18,TQQQ,100.0,116050.67,1.36,5.0,2.454
2023-10-18,UDOW,-100.0,116050.67,1.5,5.0,1.95
2023-10-25,VBF,100.0,103572.9,3.64,5.0,6.555
2023-10-25,TQQQ,-100.0,103572.9,1.53,5.0,2.746
2023-10-26,VBF,-100.0,103842.3,3.63,5.0,6.531
2023-10-26,QLD,100.0,103842.3,1.0,5.0,1.7
